5
id,age,math,science,malay,
0,1,1,1,1,
100
1190028975,26,74,43,94,
1190017344,38,87,72,9,
1190007048,32,96,34,52,
1190029868,35,66,17,12,
1190001953,19,58,46,58,
1190015553,42,62,50,80,
1190022221,38,78,58,15,
1190028471,24,4,6,17,
1190004174,22,38,60,97,
1190025193,32,6,86,51,
1190014634,35,12,31,87,
1190001419,35,70,94,91,
1190026177,36,56,85,58,
1190000417,33,96,63,46,
1190019462,36,30,79,68,
1190011190,23,40,43,70,
1190004294,33,73,54,60,
1190007775,32,91,6,83,
1190014687,30,83,15,70,
1190002819,33,21,55,95,
1190015838,33,27,27,64,
1190018319,27,38,60,90,
1190031320,30,22,93,88,
1190023416,35,74,81,64,
1190006644,37,25,2,62,
1190026421,28,64,69,3,
1190005390,41,58,83,15,
1190017311,33,64,99,99,
1190014543,38,79,94,80,
1190013010,36,32,66,46,
1190015793,28,35,84,42,
1190000647,27,14,69,65,
1190000969,32,66,61,58,
1190008196,25,63,97,59,
1190028368,22,15,22,96,
1190026635,28,86,49,2,
1190024895,26,20,96,84,
1190000370,30,64,23,85,
1190019702,28,7,59,59,
1190024402,34,30,84,47,
1190002377,29,36,93,50,
1190012264,28,44,81,62,
1190026995,29,78,59,3,
1190003992,31,10,54,93,
1190015276,27,28,8,1,
1190025535,24,33,76,50,
1190014461,23,35,24,16,
1190022317,31,83,81,40,
1190019214,34,57,95,54,
1190008832,37,28,74,31,
1190020089,32,28,60,44,
1190009404,26,28,89,96,
1190012650,24,25,78,58,
1190025802,34,52,60,14,
1190014484,25,78,91,96,
1190029390,20,75,29,19,
1190008644,32,38,91,57,
1190022642,38,66,60,79,
1190001174,39,78,58,75,
1190027024,27,78,30,7,
1190019230,37,14,86,42,
1190025322,19,1,55,94,
1190019449,36,40,35,57,
1190027346,40,41,33,33,
1190016554,22,68,43,51,
1190018405,41,64,13,41,
1190022069,21,67,15,91,
1190003152,41,56,25,91,
1190015171,42,24,31,16,
1190006201,20,98,46,86,
1190009823,29,36,67,60,
1190017461,21,76,52,63,
1190010263,29,2,18,66,
1190019717,23,23,39,29,
1190002036,26,16,32,18,
1190019422,33,58,46,28,
1190014504,20,29,50,56,
1190013076,34,37,54,51,
1190028400,29,58,65,15,
1190031965,35,8,94,29,
1190026611,37,22,78,81,
1190002690,33,38,22,30,
1190016163,31,77,85,80,
1190011328,20,71,40,70,
1190010479,26,68,91,55,
1190032414,39,23,78,20,
1190020165,26,19,35,86,
1190018448,27,95,6,22,
1190012858,32,98,12,30,
1190023057,19,16,31,46,
1190014409,21,85,12,68,
1190015133,39,94,51,53,
1190006927,42,36,11,16,
1190006973,25,87,98,61,
1190020336,20,85,2,10,
1190023290,20,70,45,88,
1190015741,34,32,8,89,
1190019689,20,42,39,65,
1190019871,39,78,22,89,
1190025668,26,97,49,39
